energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_href,uri,track_album_name,playlist_name,analysis_url,track_id,track_name,track_album_release_date,instrumentalness,track_album_id,mode,key,duration_ms,acousticness,id,playlist_subgenre,type,playlist_id
0.757,142.579,0.482,pop,-4.586,0.143,0.12,The Kid LAROI,4,0.0355,88,https://api.spotify.com/v1/tracks/1XBYiRV30ykHw5f4wm6qEn,spotify:track:1XBYiRV30ykHw5f4wm6qEn,THE FIRST TIME,Global Top 50,https://api.spotify.com/v1/audio-analysis/1XBYiRV30ykHw5f4wm6qEn,1XBYiRV30ykHw5f4wm6qEn,NIGHTS LIKE THIS,2023.0,0.0016,63IolVUykZCHMlu2zu9jHS,1,6,86984,0.0137,1XBYiRV30ykHw5f4wm6qEn,global,audio_features,37i9dQZEVXbMDoHDwVN2tF
0.757,139.982,0.742,pop,-4.981,0.305,0.957,Chappell Roan,4,0.0421,88,https://api.spotify.com/v1/tracks/4xdBrk0nFZaP54vvZj0yx7,spotify:track:4xdBrk0nFZaP54vvZj0yx7,The Rise and Fall of a Midwest Princess,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/4xdBrk0nFZaP54vvZj0yx7,4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,2023.0,0.0,0EiI8ylL0FmWWpgHVTsZjZ,1,6,184841,0.0187,4xdBrk0nFZaP54vvZj0yx7,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.812,80.09,0.505,pop,-3.986,0.444,0.664,"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",4,0.461,88,https://api.spotify.com/v1/tracks/3tFed7YsjGnIfxeLEQwx3R,spotify:track:3tFed7YsjGnIfxeLEQwx3R,CHROMAKOPIA,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/3tFed7YsjGnIfxeLEQwx3R,3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",2024.0,0.0,0U28P0QVB1QRxpqp5IHOlH,1,1,255916,0.285,3tFed7YsjGnIfxeLEQwx3R,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.308,113.95,0.504,ambient,-14.958,0.158,0.121,Mitski,4,0.0321,88,https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,The Land Is Inhospitable and So Are We,Dark Academia,https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3,3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,2023.0,0.135,2Cn1d2KgbkAqbZCJ1RzdkA,1,9,137773,0.868,3vkCueOmm7xQDoJ17W1Pm3,academic,audio_features,6JH5nqQdmdNPuwEoCImWnj
0.561,150.069,0.669,pop,-6.538,0.0954,0.841,Addison Rae,4,0.0411,88,https://api.spotify.com/v1/tracks/6MzofobZt2dm0Kf1hTThFz,spotify:track:6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/6MzofobZt2dm0Kf1hTThFz,6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,2024.0,0.00962,0XA403JTounqFh2owquBXu,1,10,169698,0.495,6MzofobZt2dm0Kf1hTThFz,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.482,100.029,0.69,latin,-6.335,0.0728,0.356,Fuerza Regida,4,0.2,88,https://api.spotify.com/v1/tracks/5AH31dDNgxCMGDdxubNNn4,spotify:track:5AH31dDNgxCMGDdxubNNn4,PERO NO TE ENAMORES,Viva Latino,https://api.spotify.com/v1/audio-analysis/5AH31dDNgxCMGDdxubNNn4,5AH31dDNgxCMGDdxubNNn4,NEL,2024.0,0.0004,3iRQdNKyI5Pf78jWYI1tFv,0,7,149074,0.523,5AH31dDNgxCMGDdxubNNn4,modern,audio_features,37i9dQZF1DX10zKzsJ2jva
0.56,134.066,0.853,pop,-4.961,0.0944,0.86,Bruno Mars,4,0.0406,88,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,24K Magic,Global Top 50,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,2016.0,0.0,4PgleR09JVnm3zY1fW3XBA,1,1,206693,0.013,0KKkJNfGyhkQ5aFogxQAPU,global,audio_features,37i9dQZEVXbMDoHDwVN2tF
0.776,103.963,0.699,pop,-5.282,0.205,0.708,Sabrina Carpenter,4,0.0293,88,https://api.spotify.com/v1/tracks/2HRqTpkrJO5ggZyyK6NPWz,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Short n' Sweet,Global Top 50,https://api.spotify.com/v1/audio-analysis/2HRqTpkrJO5ggZyyK6NPWz,2HRqTpkrJO5ggZyyK6NPWz,Espresso,2024.0,5.36e-06,3iPSVi54hsacKKl1xIR2eH,1,0,175459,0.131,2HRqTpkrJO5ggZyyK6NPWz,global,audio_features,37i9dQZEVXbMDoHDwVN2tF
0.513,109.935,0.745,latin,-9.116,0.216,0.929,"Tito Double P, Peso Pluma",3,0.087,88,https://api.spotify.com/v1/tracks/5lKFO0PrOC9jmOlPEdjHsL,spotify:track:5lKFO0PrOC9jmOlPEdjHsL,INCÓMODO,Viva Latino,https://api.spotify.com/v1/audio-analysis/5lKFO0PrOC9jmOlPEdjHsL,5lKFO0PrOC9jmOlPEdjHsL,DOS DÍAS,2024.0,0.0,27GWSFRITD8JJcSGMgEfTN,1,1,154620,0.783,5lKFO0PrOC9jmOlPEdjHsL,modern,audio_features,37i9dQZF1DX10zKzsJ2jva
0.472,101.061,0.898,pop,-7.001,0.141,0.214,Kendrick Lamar,4,0.0776,88,https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/6AI3ezQ4o3HUoP6Dhudph3,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,2024.0,0.0,5JjnoGJyOxfSZUZtk2rRwZ,1,1,274192,0.0107,6AI3ezQ4o3HUoP6Dhudph3,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.882,148.038,0.569,gaming,-2.777,0.142,0.201,"Travis Scott, Playboi Carti",4,0.06,88,https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA,spotify:track:42VsgItocQwOQC3XWZ8JNA,UTOPIA,Top Gaming Tracks,https://api.spotify.com/v1/audio-analysis/42VsgItocQwOQC3XWZ8JNA,42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),2023.0,0.0,18NOKLkZETa4sWwLMIm0UZ,0,3,191701,0.0316,42VsgItocQwOQC3XWZ8JNA,modern,audio_features,37i9dQZF1DWTyiBJ6yEqeu
0.369,174.097,0.448,pop,-9.514,0.638,0.0998,Lord Huron,3,0.0452,88,https://api.spotify.com/v1/tracks/3hRV0jL3vUpRrcy398teAU,spotify:track:3hRV0jL3vUpRrcy398teAU,Strange Trails,Global Top 50,https://api.spotify.com/v1/audio-analysis/3hRV0jL3vUpRrcy398teAU,3hRV0jL3vUpRrcy398teAU,The Night We Met,2015.0,0.272,4sD1qg4jwTZR4mvR4Iflk5,1,9,208212,0.968,3hRV0jL3vUpRrcy398teAU,global,audio_features,37i9dQZEVXbMDoHDwVN2tF
0.86,100.019,0.774,latin,-2.888,0.116,0.446,"Feid, ATL Jacob",4,0.13,88,https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi,spotify:track:7bywjHOc0wSjGGbj04XbVi,FERXXOCALIPSIS,Reggaeton Hits,https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi,7bywjHOc0wSjGGbj04XbVi,LUNA,2023.0,0.0,0lgs2Sa82lyX89nBUWyUy6,0,7,196800,0.131,7bywjHOc0wSjGGbj04XbVi,reggaeton,audio_features,50RFc7X949cZs4CHZ4fPDe
