energy,tempo,danceability,playlist_genre,loudness,liveness,valence,speechiness,track_popularity,track_name,track_album_release_date,instrumentalness,acousticness,id,type
0.448,95.05,0.599,pop,-6.312,0.106,0.168,0.0232,86,Perfect,2017.0,0.0,0.163,0tgVpDi06FyKpA1z0VMD4v,audio_features
0.782,119.992,0.727,pop,-8.529,0.225,0.655,0.042,86,Move,2024.0,0.336,0.0563,1BJJbSX6muJVF2AK7uH1x4,audio_features
0.646,115.842,0.645,pop,-8.334,0.074,0.295,0.0427,86,we can't be friends (wait for your love),2024.0,3.04e-05,0.0615,51ZQ1vr10ffzbwIjDCwqm4,audio_features
0.663,121.07,0.6,pop,-5.802,0.119,0.286,0.0477,86,Story of My Life,2013.0,0.0,0.225,4nVBt6MZDDP6tRVdQTgxJg,audio_features
0.537,122.769,0.445,pop,-8.532,0.0944,0.131,0.04,86,Another Love,2013.0,1.65e-05,0.695,3JvKfv6T31zO0ini8iNItO,audio_features
0.635,103.019,0.617,electronic,-6.769,0.164,0.446,0.0317,86,Something Just Like This,2017.0,1.44e-05,0.0498,6RUKPb4LETWmmr3iAEQktW,audio_features
0.697,138.992,0.74,pop,-4.912,0.224,0.732,0.034,86,Nonsense,2022.0,0.0,0.0268,6dgUya35uo964z7GZXM07g,audio_features
0.917,100.987,0.562,pop,-2.768,0.488,0.501,0.117,86,Disease,2024.0,0.0,0.0513,19KlZwqlT3fguP2BeHF1Q1,audio_features
0.843,122.064,0.619,pop,-5.348,0.164,0.746,0.0284,86,Love Somebody,2024.0,0.000118,0.00948,7hR22TOX3RorxJPcsz5Wbo,audio_features
0.752,100.076,0.841,latin,-4.735,0.949,0.67,0.105,86,Soltera,2024.0,0.00046,0.167,3OJDtCdYs8QJnui708tEU3,audio_features
0.296,115.284,0.351,pop,-10.109,0.095,0.12,0.0333,86,lovely (with Khalid),2018.0,0.0,0.934,0u2P5u6lvoDfwTYjAADbn4,audio_features
0.581,99.973,0.805,latin,-5.091,0.0933,0.528,0.0601,86,Después De La 1,2024.0,0.0202,0.0303,6PhRhocBXP4y7NpciGmzra,audio_features
0.711,146.921,0.487,pop,-4.22,0.152,0.317,0.0322,85,Running Wild,2024.0,0.0,0.000175,4p7DTkyrKqT98xlIwYYfXz,audio_features
0.626,100.02,0.763,latin,-5.637,0.205,0.78,0.0433,85,SI NO ES CONTIGO,2024.0,0.225,0.0859,5Uptvz6j1sjDKxidAcnH2L,audio_features
0.764,148.853,0.666,latin,-6.297,0.347,0.729,0.116,85,AY MAMÁ,2024.0,0.0,0.366,2lAUq68F2bt7Kc218n9FPp,audio_features
0.628,119.98,0.757,pop,-6.715,0.221,0.321,0.101,85,NEW DROP,2024.0,0.0209,0.189,2c7z5oRcPBbqRaBY2mLWcf,audio_features
0.192,175.212,0.369,pop,-12.151,0.0954,0.148,0.04,85,Something in the Orange,2022.0,8.35e-06,0.555,3WMj8moIAXJhHsyLaqIIHI,audio_features
0.841,109.021,0.635,pop,-5.379,0.0622,0.424,0.0422,85,Just the Way You Are,2010.0,0.0,0.0134,7BqBn9nzAq8spo5e7cZ0dJ,audio_features
0.667,130.019,0.776,pop,-6.622,0.0761,0.618,0.0983,85,Guess featuring billie eilish,2024.0,0.3,0.0146,3WOhcATHxK2SLNeP5W3v1v,audio_features
0.904,167.033,0.739,pop,-2.655,0.0948,0.788,0.0442,85,Touch,2024.0,1.03e-05,0.549,6aJn7Cst74cj4lNIiPRgav,audio_features
0.471,105.029,0.472,pop,-5.692,0.14,0.219,0.0603,85,Beautiful Things,2024.0,0.0,0.151,6tNQ70jh4OwmPGpYy6R2o9,audio_features
0.731,101.654,0.483,pop,-6.696,0.151,0.484,0.0381,85,Riptide,2014.0,0.0,0.436,2uXlHCUbq9OMUwx3hrk06o,audio_features
0.859,129.77,0.77,hip-hop,-3.382,0.673,0.64,0.275,85,Thought I Was Dead (feat. ScHoolboy Q & Santigold),2024.0,0.0,0.362,2aYHxnMF2umAavtgBvmkY1,audio_features
0.557,85.043,0.358,pop,-7.398,0.0902,0.494,0.059,85,Say You Won't Let Go,2016.0,0.0,0.695,5uCax9HTNlzGybIStD3vDh,audio_features
0.356,169.653,0.529,latin,-6.612,0.136,0.659,0.0569,85,Rey Sin Reina,2024.0,0.0,0.29,0BiDnJFB3TlRB6aji7jUz3,audio_features
0.536,97.541,0.716,latin,-7.798,0.208,0.359,0.0328,84,PIÉNSALO,2023.0,0.0,0.452,4ZOkfHC38nxSeSqzGE5HFr,audio_features
0.524,95.01,0.748,electronic,-5.599,0.111,0.661,0.0338,84,Closer,2016.0,0.0,0.414,7BKLCZ1jbUBVqRi2FVlTVw,audio_features
0.822,167.997,0.604,pop,-4.833,0.147,0.288,0.0438,84,Thunder,2017.0,0.134,0.00672,1zB4vmk8tFRmM9UULNzbLB,audio_features
0.706,80.969,0.722,pop,-4.857,0.067,0.599,0.0292,84,A Bar Song (Tipsy),2024.0,0.0,0.072,5fZJQrFKWQLb7FpJXZ1g7K,audio_features
0.574,120.013,0.669,hip-hop,-6.442,0.146,0.273,0.0286,84,Falling Down - Bonus Track,2018.0,0.00294,0.0175,4jvjzW7Hm0yK4LvvE0Paz9,audio_features
0.709,194.055,0.744,pop,-5.778,0.0847,0.712,0.284,84,DEGENERE 👑 (feat. benny blanco),2024.0,0.0,0.0501,0qeIFEGRQqHoaJtLCl0U73,audio_features
