genre,folds,avg_rmse_walkforward,avg_mae_walkforward,avg_mape_walkforward,final_pdq,holdout_rmse_2023_2024,holdout_mae_2023_2024,holdout_mape_2023_2024,meets_thresholds_walkforward
pop,11,1.2672337756894478,1.1753231910604247,1.50979961003231,"(2, 1, 3)",3.35410033692624,2.999997349544145,3.561689758974018,True
hip-hop,7,0.6984773826875352,0.6275211053495389,0.8749668388638431,"(0, 0, 0)",2.0172825331306794,1.5833283988087032,2.2377598875842697,True
latin,6,1.528769242433922,1.406195092889983,1.996189304983301,"(2, 0, 3)",5.441287840307907,4.353110567970198,5.551877298456209,True
electronic,9,1.5934002494087172,1.5169573744024936,2.0442338610147526,"(1, 0, 0)",3.5715740682033945,3.527381292460248,5.009264302202662,True
