genre,fold,train_start,train_end,test_start,test_end,p,d,q,rmse,mae,mape,source
latin,1,2013,2015,2016,2017,1,1,1,18.32740932006694,18.23263658003558,25.92981105976645,manual
latin,1,2013,2015,2016,2017,0,0,0,4.116358351059489,3.8333283285334687,5.485097567665248,grid
latin,1,2013,2015,2016,2017,0,0,1,3.7589868286825032,3.3000095946816757,4.737331773960399,grid
latin,1,2013,2015,2016,2017,0,0,2,3.6224622400747952,3.566668290120205,5.042272861961937,grid
latin,1,2013,2015,2016,2017,0,0,3,1.6980556735138503,1.513705829785053,2.1713057479429017,grid
latin,1,2013,2015,2016,2017,0,1,0,11.597413504756377,11.500000000013287,16.364734299535765,grid
latin,1,2013,2015,2016,2017,0,1,1,17.227463224040214,17.16203627591021,24.39962877318176,grid
latin,1,2013,2015,2016,2017,0,1,2,18.304173162395156,18.215002297615513,25.90306976646645,grid
latin,1,2013,2015,2016,2017,0,1,3,18.26234165003472,18.204865363020218,25.877911498463913,grid
latin,1,2013,2015,2016,2017,0,2,0,27.28552729925547,26.49999999997236,37.80193236711026,grid
latin,1,2013,2015,2016,2017,1,0,0,3.8891472763152257,3.199217988219928,4.606723621203098,grid
latin,1,2013,2015,2016,2017,1,0,1,4.1841621397530675,3.8343370217927415,5.4918078220231115,grid
latin,1,2013,2015,2016,2017,1,0,2,2.7113749695427214,2.7096643738333555,3.8481438122126606,grid
latin,1,2013,2015,2016,2017,1,0,3,1.9102595196082321,1.4526796621485403,2.0989261241165966,grid
latin,1,2013,2015,2016,2017,1,1,0,18.765386427296267,18.52148344709274,26.374559503964633,grid
latin,1,2013,2015,2016,2017,1,1,1,18.32740932006694,18.23263658003558,25.92981105976645,grid
latin,1,2013,2015,2016,2017,1,1,2,18.29954317392388,18.214441917911493,25.901012924556138,grid
latin,1,2013,2015,2016,2017,1,1,3,18.346161427584764,18.297606987681633,26.00608096611324,grid
latin,1,2013,2015,2016,2017,2,0,0,20.01640505820102,19.017896899438842,27.176456399839577,grid
latin,1,2013,2015,2016,2017,2,0,1,20.36756668740444,19.332572308988688,27.62804956337806,grid
latin,1,2013,2015,2016,2017,2,0,2,12.643147623194814,12.502411067669335,17.685148669511047,grid
latin,1,2013,2015,2016,2017,2,0,3,0.9218332833756959,0.916082570425047,1.2968923182415508,grid
latin,1,2013,2015,2016,2017,2,1,0,20.290430879880237,19.34849121174738,27.64159198777693,grid
latin,1,2013,2015,2016,2017,2,1,1,18.777826012685374,18.532680717716474,26.39070987440848,grid
latin,1,2013,2015,2016,2017,2,1,2,18.462841292971174,18.428406987139056,26.185453355626215,grid
latin,1,2013,2015,2016,2017,2,1,3,18.41928840265487,18.286992452653763,26.017279576688164,grid
latin,1,2013,2015,2016,2017,3,0,0,19.79260849590663,18.81720877786423,26.888453724470185,grid
latin,1,2013,2015,2016,2017,3,0,1,11.901573136596074,11.601175235037303,16.54324683791643,grid
latin,1,2013,2015,2016,2017,3,0,2,1.7572995694266649,1.75407738308364,2.485968244428488,grid
latin,1,2013,2015,2016,2017,3,0,3,17.583862253208512,16.82599209030483,24.031651881922794,grid
latin,1,2013,2015,2016,2017,3,1,0,20.251566903533792,19.320871571264185,27.601139094264216,grid
latin,1,2013,2015,2016,2017,3,1,1,18.945574062740548,18.45485993898143,26.318310630565282,grid
latin,1,2013,2015,2016,2017,3,1,2,18.57151125711827,18.19716427972842,25.935288054310252,grid
latin,1,2013,2015,2016,2017,3,1,3,18.377028494493413,18.05735947781207,25.72791840373103,grid
latin,2,2014,2016,2017,2018,1,1,1,9.433938958923262,8.000014726270159,11.594224240971245,manual
latin,2,2014,2016,2017,2018,0,0,0,6.333328472514765,6.333328472514765,9.178736916688065,grid
latin,2,2014,2016,2017,2018,0,0,1,7.516710061961135,7.500060287583814,10.86965259070118,grid
latin,2,2014,2016,2017,2018,0,0,2,8.227261510890964,8.144556959620672,11.803705738580684,grid
latin,2,2014,2016,2017,2018,0,0,3,8.596874245011673,8.401890058533688,12.176652258744475,grid
latin,2,2014,2016,2017,2018,0,1,0,2.9999999999896687,2.9999999999896687,4.347826086941549,grid
latin,2,2014,2016,2017,2018,0,1,1,6.332490614902611,6.332490614902611,9.17752263029364,grid
latin,2,2014,2016,2017,2018,0,1,2,7.908141882161609,7.874200378829443,11.411884606999193,grid
latin,2,2014,2016,2017,2018,0,1,3,8.481966661735417,8.32623739958332,12.067010724033796,grid
latin,2,2014,2016,2017,2018,0,2,0,13.00000000000365,12.000000000003471,17.39130434783112,grid
latin,2,2014,2016,2017,2018,1,0,0,9.43398157395834,8.000000348501715,11.594203403625674,grid
latin,2,2014,2016,2017,2018,1,0,1,9.433991085791607,8.000004161815617,11.594208930167563,grid
latin,2,2014,2016,2017,2018,1,0,2,9.432036520538745,7.9994996854655795,11.593477805022578,grid
latin,2,2014,2016,2017,2018,1,0,3,9.433952111270674,8.000000097952984,11.594203040511571,grid
latin,2,2014,2016,2017,2018,1,1,0,9.433953311111349,7.999999999862233,11.594202898351062,grid
latin,2,2014,2016,2017,2018,1,1,1,9.433938958923262,8.000014726270159,11.594224240971245,grid
latin,2,2014,2016,2017,2018,1,1,2,9.433944611719442,8.00002532811132,11.594239605958435,grid
latin,2,2014,2016,2017,2018,1,1,3,9.433958577734415,8.000018169136752,11.594229230632973,grid
latin,2,2014,2016,2017,2018,2,0,0,9.433961017705352,8.000015769051423,11.59422575224844,grid
latin,2,2014,2016,2017,2018,2,0,1,9.434210085956597,8.00022258247975,11.59452548185471,grid
latin,2,2014,2016,2017,2018,2,0,2,9.433778862690199,8.00011198111708,11.594365190024753,grid
latin,2,2014,2016,2017,2018,2,0,3,9.43367765768784,8.000198553466639,11.594490657198026,grid
latin,2,2014,2016,2017,2018,2,1,0,9.433891179045718,7.99993573332722,11.594109758445246,grid
latin,2,2014,2016,2017,2018,2,1,1,9.43393276168004,7.999999999052882,11.59420289717809,grid
latin,2,2014,2016,2017,2018,2,1,2,9.433752099548093,8.000064695587454,11.594296660271672,grid
latin,2,2014,2016,2017,2018,2,1,3,9.433719353814107,8.000180038389594,11.594463823753037,grid
latin,2,2014,2016,2017,2018,3,0,0,9.433952647276355,8.0000291184353,11.594245099181595,grid
latin,2,2014,2016,2017,2018,3,0,1,9.433161075575454,7.998938926598157,11.592665111011822,grid
latin,2,2014,2016,2017,2018,3,0,2,9.433700511302124,7.999947924636309,11.594127427009145,grid
latin,2,2014,2016,2017,2018,3,0,3,9.433758922772578,8.000118155388755,11.594374138244573,grid
latin,2,2014,2016,2017,2018,3,1,0,9.433835776605243,7.999906205130877,11.594066963957793,grid
latin,2,2014,2016,2017,2018,3,1,1,9.433727106509195,7.999988171759803,11.594185756173626,grid
latin,2,2014,2016,2017,2018,3,1,2,9.43387075927204,7.999999629345666,11.59420236137053,grid
latin,2,2014,2016,2017,2018,3,1,3,9.433928836654074,7.999965524109776,11.594152933492428,grid
latin,3,2015,2017,2018,2019,1,1,1,0.9098796021617739,0.8013847632265083,1.1575918094461848,manual
latin,3,2015,2017,2018,2019,0,0,0,4.859121601552752,4.833328329285791,6.959965194313924,grid
latin,3,2015,2017,2018,2019,0,0,1,6.356483609485568,6.049991592742842,8.725660742239423,grid
latin,3,2015,2017,2018,2019,0,0,2,6.749478863399518,6.7333265462243475,9.693572022966613,grid
latin,3,2015,2017,2018,2019,0,0,3,7.489247915389283,7.2820290706708235,10.496393166580791,grid
latin,3,2015,2017,2018,2019,0,1,0,0.7071067811834224,0.5,0.7142857142857599,grid
latin,3,2015,2017,2018,2019,0,1,1,0.972467611307953,0.8340822831369792,1.2053564943689452,grid
