genre,fold,train_start,train_end,test_start,test_end,p,d,q,rmse,mae,mape
hip-hop,1,2012,2014,2015,2016,0,1,0,1.5811388300817495,1.4999999999974278,2.102895148666199
hip-hop,2,2013,2015,2016,2017,1,1,0,0.5916777418689774,0.5194564597258662,0.729318795994215
hip-hop,3,2014,2016,2017,2018,0,0,0,5.006996943279773e-06,5.006996943279773e-06,6.954162421221908e-06
hip-hop,4,2015,2017,2018,2019,0,1,0,0.7071067811919939,0.5000000000077023,0.6849315068599394
hip-hop,5,2016,2018,2019,2020,3,1,1,0.9999945036156151,0.9999945034796056,1.3891489052204395
hip-hop,6,2017,2019,2020,2021,1,0,1,0.6558618839649748,0.6231867602422838,0.8736320447542402
hip-hop,7,2018,2020,2021,2022,0,0,0,0.3535569310924927,0.2500050069969433,0.3448345163894474
