genre,fold,train_start,train_end,test_start,test_end,p,d,q,rmse,mae,mape
latin,1,2013,2015,2016,2017,2,0,3,0.9218332833756959,0.916082570425047,1.2968923182415508
latin,2,2014,2016,2017,2018,0,1,0,2.9999999999896687,2.9999999999896687,4.347826086941549
latin,3,2015,2017,2018,2019,0,1,0,0.7071067811834224,0.5,0.7142857142857599
latin,4,2016,2018,2019,2020,0,0,2,1.2648655835219536,1.1999850036872175,1.6825205179538636
latin,5,2017,2019,2020,2021,0,1,1,1.4142095506762005,1.0,1.3888890014564326
latin,6,2018,2020,2021,2022,3,0,2,1.8646002558565908,1.8211029832379637,2.5467221910206512
